customer_city,customer_id,lat_x,lon_x,zip_code_prefix_x,customer,seller_id,order_id,delivery_speed,seller_city,lat_y,lon_y,zip_code_prefix_y,seller,seller_location,customer_location
abadia dos dourados,9e01f714a2b3b8962c222cf2b74c20dc,-18.47775160890748,-47.40631870552556,38540,74530,12b9676b00f60f3b700e83af21824c0e,50ba38c4dc467baab1ea2c8c7747934d,17.0,montenegro,-29.688238317970825,-51.4687297294334,95780.0,1025.0,POINT (-51.4687297294334 -29.688238317970825),POINT (-47.40631870552556 -18.47775160890748)
abelardo luz,0609f5889f00803311ba52e9219c3872,-26.567291358539716,-52.32770280683115,89830,43208,cbf09e831b0c11f6f23ffb51004db972,8346e642eb8d376b57cddc53b6118a3a,7.0,sbc/sp,-23.687601262936614,-46.56158565212812,9726.0,870.0,POINT (-46.56158565212812 -23.687601262936614),POINT (-52.32770280683115 -26.567291358539716)
abrantes,0165051ac7514aff1b132007d915622f,-12.828448370062683,-38.26224219433945,42840,29714,a1043bafd471dff536d0c462352beb48,a3f157a067efbb72090189af1f7b78b4,15.0,ilicinea,-20.940711526524826,-45.82719542395004,37175.0,2747.0,POINT (-45.82719542395004 -20.940711526524826),POINT (-38.26224219433945 -12.828448370062683)
afogados da ingazeira,2374bb1234352ce588b83dc14b59ea5f,-7.755593017854507,-37.590137523621614,56800,38311,3d871de0142ce09b7081e2b9d1733cb1,814449e266f5cbff53f6e336abd1dd5a,10.0,campo limpo paulista,-23.211861520675228,-46.76228778069986,13232.0,2346.0,POINT (-46.76228778069986 -23.211861520675228),POINT (-37.590137523621614 -7.755593017854507)
afranio,3a877e5eba37d36c050a3e5f11083e5f,-8.528732354498644,-41.02153204781979,56360,50094,1fe5540d7c1c37a595fefbacd5570d9e,9f81e8f6c74d99562869844aafbfe0d5,13.0,paraiba do sul,-22.165064136726443,-43.292566627183746,25850.0,418.0,POINT (-43.292566627183746 -22.165064136726443),POINT (-41.02153204781979 -8.528732354498644)
agua preta,d5611385e2e85a798c08942bdcedf49c,-8.7061366938173,-35.5172329639589,55550,92664,4aba391bc3b88717ce08eb11e44937b2,c693197525abfba60b35d3a99954f7a5,11.0,arraial d'ajuda (porto seguro),-16.381853461534703,-39.304253002730505,45816.0,875.0,POINT (-39.304253002730505 -16.381853461534703),POINT (-35.5172329639589 -8.7061366938173)
agua santa,235702411e5214f0e4a0761bf5ce9e99,-28.183372036296035,-52.03985047911124,99965,98651,001cca7ae9ae17fb1caed9dfb1094831,3363e330c754a732795f39079bb76d55,15.0,cariacica,-20.301260880441404,-40.394696907072586,29156.0,1110.0,POINT (-40.394696907072586 -20.301260880441404),POINT (-52.03985047911124 -28.183372036296035)
aguas mornas,078f0224b486abd1118e85fc9d4d3dc6,-27.700076237062717,-48.8354429033072,88150,12501,00fc707aaaad2d31347cf883cd2dfe10,1830ac545c2b9909d6c6e107924faa80,16.0,maringa,-23.417734292616718,-51.93149252646482,87025.0,1955.0,POINT (-51.93149252646482 -23.417734292616718),POINT (-48.8354429033072 -27.700076237062717)
aguas vermelhas,070ae6a687b800200c1f7dd6a2671c75,-15.657727860095669,-41.48047338651928,39990,73509,4869f7a5dfa277a7dca6462dcf3b52b2,356108ac93685d12f65fe827e25bb138,11.0,guariba,-21.36347334469748,-48.2295879769369,14840.0,2618.0,POINT (-48.2295879769369 -21.36347334469748),POINT (-41.48047338651928 -15.657727860095669)
ajuricaba,2803c057d3a734c257e48b068d04722a,-28.23767494431188,-53.764289647979005,98750,47283,5cf13accae3222c70a9cac40818ae839,f22b5d7d572e174ee9e14f0e04c7962c,9.0,patos de minas,-18.585641548215296,-46.522755602074014,38700.0,2442.0,POINT (-46.522755602074014 -18.585641548215296),POINT (-53.764289647979005 -28.23767494431188)
alagoinhas,034c3cb26461c58520139e4efb33ed90,-12.137272036684607,-38.419683906140584,48030,3025,1554a68530182680ad5c8b042c3ab563,01d0cbd002be92b5a970cb8f233349c2,17.0,monte siao,-22.43061273369082,-46.57334084810494,37580.0,524.0,POINT (-46.57334084810494 -22.43061273369082),POINT (-38.419683906140584 -12.137272036684607)
